open,high,low,close,volume
20150.69,20301.79,20135.05,20216.03,22331.05908
20215.53,20686.51,20215.5,20586.75,36421.82903
20586.75,20640.11,20374.07,20492.43,21108.18651
20491.36,20502.75,20315.01,20393.88,18728.32545
20393.89,20414.81,20271.23,20339.7,16413.50707
20339.69,20435.43,20307.45,20391.39,11862.67058
20391.4,20408.46,20200.0,20284.61,16272.52221
20283.9,20320.77,19823.82,19850.81,31787.51955
19850.81,20208.36,19765.03,20071.82,31430.07237
20071.82,20147.15,19955.43,20092.78,20800.33105
20092.78,20160.15,19997.5,20036.75,14152.26404
20035.98,20107.99,19971.71,20086.07,15409.2743
20086.07,20129.06,20030.0,20031.65,11590.75024
20032.41,20143.93,20030.01,20078.23,11421.45925
20077.14,20205.46,20072.82,20112.33,14586.02126
20113.14,20147.0,20040.77,20061.98,12503.59402
20062.77,20104.61,19992.24,20091.11,14989.7312
20091.75,20331.44,20066.0,20246.92,19784.05771
20245.48,20324.21,20197.64,20226.72,16153.81836
20227.46,20252.88,20145.01,20220.96,11779.92271
20220.98,20456.0,20214.63,20349.4,20386.69151
20349.4,20364.49,20280.0,20353.91,11759.87704
20353.91,20450.0,20300.0,20333.55,12228.3303
20332.53,20529.91,20330.41,20455.73,13930.00649
20455.73,20502.46,20342.69,20453.41,17296.3167
20453.41,20483.89,20380.0,20419.33,10518.94571
20419.33,20430.66,20303.53,20377.2,12221.3737
20377.21,20464.91,20351.13,20376.46,11333.87733
20376.47,20403.03,20325.32,20386.99,8959.1019
20386.3,20440.8,20350.02,20354.68,9827.92448
20354.68,20383.17,20318.0,20331.8,8022.11883
20331.2,20374.08,20270.6,20346.71,9179.4706
20346.71,20395.0,20333.8,20376.88,9577.40381
20376.83,20432.56,20362.64,20382.18,11110.29005
20382.73,20448.82,20365.08,20425.93,7738.29404
20425.93,20497.34,20416.02,20445.43,11284.55407
20445.56,20446.7,20317.39,20381.25,13909.76132
20380.62,20466.0,20369.0,20383.95,11980.10659
20383.95,20406.75,20327.59,20339.55,10691.66424
